,id,votes,category,name,voted,added,url,is_big
0,1,2.0,other,"Ремонт та благоустрій тротуару, дорожнього полотна до ЖК ""Авалон"" (1 та 2 кільця)",True,15.08.2021,https://lviv.pb.org.ua/projects/1,False
1,2,272.0,other,"Система відеоспостереження в парку ""Горіховий гай""",True,15.08.2021,https://lviv.pb.org.ua/projects/2,True
2,3,,education,Автодром для навчання (водіїв),False,15.08.2021,https://lviv.pb.org.ua/projects/3,True
3,4,39.0,other,Облаштування дитячого майданчика,True,16.08.2021,https://lviv.pb.org.ua/projects/4,False
4,5,69.0,other,Жива вода міста Дублян,True,16.08.2021,https://lviv.pb.org.ua/projects/5,True
5,6,40.0,other,Сквер Здоров'я,True,17.08.2021,https://lviv.pb.org.ua/projects/6,False
6,7,110.0,other,Скейт-парк Skateboarding Рясне-2,True,19.08.2021,https://lviv.pb.org.ua/projects/7,False
7,9,18.0,education,Встановлення сучасного спортивно - ігрового обладнання на ігрових майданчиках ЗДО № 18,True,19.08.2021,https://lviv.pb.org.ua/projects/9,False
8,10,32.0,education,Огородження території Дублянського опорного ліцею ліцей імені Героя України Анатолія Жаловаги,True,19.08.2021,https://lviv.pb.org.ua/projects/10,False
9,11,60.0,education,Придбання мультифункціональних комплексів для ігрових майданчиків у ЗДО №114 м.Львова,True,26.08.2021,https://lviv.pb.org.ua/projects/11,False
10,12,26.0,other,Альтернативне вуличне освітлення,True,27.08.2021,https://lviv.pb.org.ua/projects/12,False
11,14,702.0,education,Будівництво навчально-спортивного комплексу на території Ліцею №28 ЛМР,True,28.08.2021,https://lviv.pb.org.ua/projects/14,True
12,15,,other,Інноваційний громадський простір у Стрийському парку,False,28.08.2021,https://lviv.pb.org.ua/projects/15,False
13,16,46.0,other,Створення парку біля озера Стосика,True,30.08.2021,https://lviv.pb.org.ua/projects/16,False
14,17,,education,"Комфортний освітній простір Лисиничівської гімназії ЛМР, с.Лисиничі, алея Шкільна, буд. 2",False,30.08.2021,https://lviv.pb.org.ua/projects/17,False
15,18,55.0,other,"Громадський простір в парку ""Горіховий гай""",True,01.09.2021,https://lviv.pb.org.ua/projects/18,False
16,19,100.0,education,Модернізація ігрових майданчиків у ЗДО №154 ЛМР,True,02.09.2021,https://lviv.pb.org.ua/projects/19,False
17,20,168.0,education,Завершення реконструкції пришкільного покриття на території ЛЗШ №43,True,03.09.2021,https://lviv.pb.org.ua/projects/20,True
18,21,48.0,education,Облаштування спортивного майданчику на території Зарудцівської гімназії.,True,03.09.2021,https://lviv.pb.org.ua/projects/21,False
19,22,,other,"Міні-футбол на Роксоляни 87 (а,б,в)",False,03.09.2021,https://lviv.pb.org.ua/projects/22,False
20,23,11.0,other,Громадський простір на вулиці Дозвільна 1,True,03.09.2021,https://lviv.pb.org.ua/projects/23,False
